Barangay,Area_sqm,Area_sqkm,Population_2020,Population_2024,Pop_Density_2020,Pop_Density_2024,Pop_Growth_Rate
AGAPITO DEL ROSARIO,139855,0.14,2556,2665,18276.07,19055.45,1.01
ANUNAS,3946577,3.95,26063,22722,6603.95,5757.39,-3.24
BALIBAGO,2648768,2.65,42274,38510,15959.87,14538.83,-2.21
CAPAYA,2564281,2.56,12602,13916,4914.44,5426.86,2.41
CLARO M RECTO,179228,0.18,5149,5569,28728.77,31072.15,1.9
CUAYAN,4139180,4.14,15046,13956,3635.02,3371.68,-1.79
CUTCUT,4082166,4.08,28296,28699,6931.61,7030.34,0.34
CUTUD,2125116,2.13,24821,23921,11679.83,11256.33,-0.88
LOURDES NORTHWEST,440460,0.44,10054,13415,22826.14,30456.8,7.17
LOURDES SUR,210199,0.21,4879,5469,23211.34,26018.2,2.78
LOURDES SUR EAST,206663,0.21,3639,4267,17608.38,20647.14,3.89
MALABANIAS,2625601,2.63,29841,29072,11365.4,11072.51,-0.62
MARGOT,2312225,2.31,12229,12459,5288.85,5388.32,0.45
MINING,1137272,1.14,5265,3502,4629.5,3079.3,-9.32
PAMPANG,4460624,4.46,24653,31001,5526.81,6949.92,5.65
PANDAN,1742386,1.74,23928,28499,13732.89,16356.31,4.28
PULUNG MARAGUL,2246713,2.25,20675,24286,9202.33,10809.57,3.94
PULUNGBULO,1704820,1.7,13025,14005,7640.1,8214.94,1.76
PULUNG CACUTUD,2428581,2.43,25385,25338,10452.61,10433.25,-0.04
SALAPUNGAN,243323,0.24,5298,5602,21773.53,23022.9,1.35
SAN JOSE,488103,0.49,7187,8285,14724.35,16973.88,3.47
SAN NICOLAS,161389,0.16,4811,5174,29809.96,32059.19,1.76
STA TERESITA,326635,0.33,9164,9409,28055.78,28805.85,0.64
STA TRINIDAD,154078,0.15,6208,7027,40291.28,45606.77,3.02
STO CRISTO,1019164,1.02,4060,3963,3983.66,3888.48,-0.58
STO DOMINGO,2607002,2.61,18672,19575,7162.25,7508.62,1.14
STO ROSARIO,560503,0.56,5835,6476,10410.29,11553.91,2.53
SAPALIBUTAD,2713771,2.71,14280,14989,5262.05,5523.31,1.17
SAPANGBATO,12615717,12.62,13912,9037,1102.75,716.33,-9.84
TABUN,812287,0.81,13656,14604,16811.79,17978.87,1.62
VIRGEN DELOS REMEDIOS,81162,0.08,1175,1299,14477.22,16005.03,2.44
AMSIC,1521162,1.52,16953,24437,11144.77,16064.69,9.17
NINOY AQUINO,728597,0.73,11337,12304,15560.04,16887.25,1.98
